FIPS,State,County,LengthLife,LLRank
17001,Illinois,Adams,-0.1,46
17003,Illinois,Alexander,1.5,102
17005,Illinois,Bond,-0.13,40
17007,Illinois,Boone,-0.4,18
17009,Illinois,Brown,-0.8,4
17011,Illinois,Bureau,-0.16,38
17013,Illinois,Calhoun,0,53
17015,Illinois,Carroll,-0.2,35
17017,Illinois,Cass,0.19,72
17019,Illinois,Champaign,-0.41,16
17021,Illinois,Christian,0.01,56
17023,Illinois,Clark,0.17,70
17025,Illinois,Clay,0.06,59
17027,Illinois,Clinton,-0.72,8
17029,Illinois,Coles,-0.18,36
17031,Illinois,Cook,-0.11,43
17033,Illinois,Crawford,-0.66,11
17035,Illinois,Cumberland,-0.54,12
17037,Illinois,DeKalb,-0.34,27
17039,Illinois,De Witt,0.5,90
17041,Illinois,Douglas,-0.37,22
17043,Illinois,DuPage,-0.93,3
17045,Illinois,Edgar,0.35,82
17047,Illinois,Edwards,0.71,94
17049,Illinois,Effingham,-0.34,28
17051,Illinois,Fayette,-0.13,41
17053,Illinois,Ford,-0.21,33
17055,Illinois,Franklin,0.59,92
17057,Illinois,Fulton,0.1,66
17059,Illinois,Gallatin,0.99,100
17061,Illinois,Greene,0,50
17063,Illinois,Grundy,-0.1,44
17065,Illinois,Hamilton,-0.27,31
17067,Illinois,Hancock,-0.03,49
17069,Illinois,Hardin,1,101
17071,Illinois,Henderson,0.17,69
17073,Illinois,Henry,-0.21,34
17075,Illinois,Iroquois,0.36,83
17077,Illinois,Jackson,0.3,77
17079,Illinois,Jasper,-0.94,2
17081,Illinois,Jefferson,0.43,87
17083,Illinois,Jersey,0.18,71
17085,Illinois,Jo Daviess,-0.36,23
17087,Illinois,Johnson,0.3,78
17089,Illinois,Kane,-0.71,10
17091,Illinois,Kankakee,0.21,74
17093,Illinois,Kendall,-0.97,1
17095,Illinois,Knox,0.03,58
17097,Illinois,Lake,-0.77,5
17099,Illinois,LaSalle,0.14,68
17101,Illinois,Lawrence,0.41,85
17103,Illinois,Lee,-0.37,21
17105,Illinois,Livingston,0.34,80
17107,Illinois,Logan,-0.13,42
17109,Illinois,McDonough,-0.21,32
17111,Illinois,McHenry,-0.72,9
17113,Illinois,McLean,-0.44,14
17115,Illinois,Macon,0.42,86
17117,Illinois,Macoupin,0.07,60
17119,Illinois,Madison,0.2,73
17121,Illinois,Marion,0.96,99
17123,Illinois,Marshall,0.01,57
17125,Illinois,Mason,0.51,91
17127,Illinois,Massac,0.75,95
17129,Illinois,Menard,-0.38,20
17131,Illinois,Mercer,-0.41,17
17133,Illinois,Monroe,-0.77,6
17135,Illinois,Montgomery,0.43,88
17137,Illinois,Morgan,0.1,63
17139,Illinois,Moultrie,-0.4,19
17141,Illinois,Ogle,-0.32,29
17143,Illinois,Peoria,0.31,79
17145,Illinois,Perry,-0.1,47
17147,Illinois,Piatt,-0.73,7
17149,Illinois,Pike,0.07,61
17151,Illinois,Pope,0,53
17153,Illinois,Pulaski,0.79,97
17155,Illinois,Putnam,0,53
17157,Illinois,Randolph,0.1,64
17159,Illinois,Richland,0.1,65
17161,Illinois,Rock Island,-0.1,45
17163,Illinois,St. Clair,0.61,93
17165,Illinois,Saline,0.94,98
17167,Illinois,Sangamon,0,52
17169,Illinois,Schuyler,0.27,76
17171,Illinois,Scott,-0.34,25
17173,Illinois,Shelby,-0.34,26
17175,Illinois,Stark,0.12,67
17177,Illinois,Stephenson,0.09,62
17179,Illinois,Tazewell,-0.3,30
17181,Illinois,Union,0.37,84
17183,Illinois,Vermilion,0.78,96
17185,Illinois,Wabash,-0.07,48
17187,Illinois,Warren,0,51
17189,Illinois,Washington,-0.43,15
17191,Illinois,Wayne,0.27,75
17193,Illinois,White,0.34,81
17195,Illinois,Whiteside,-0.17,37
17197,Illinois,Will,-0.49,13
17199,Illinois,Williamson,-0.14,39
17201,Illinois,Winnebago,0.5,89
17203,Illinois,Woodford,-0.35,24
