pointID,SITE  NAME,EIS Facility ID,STATE,State-County,Pollutant,Pollutant Type,Emissions (Tons),Facility Type,Street Address,NAICS,EPA Region,FIPS,Latitude,Longitude
1,ADM Animal Nutrition,3344211,Illinois,IL - Adams,Lead Compounds,CAP/HAP,0.00001,Unspecified,1000 N 30th St,Other Animal Food Manufacturing,5,17001,39.945335,-91.366239
2,Prince Agri Products Inc,3345811,Illinois,IL - Adams,Lead Compounds,CAP/HAP,0.00006,Unspecified,4618 Gardner Expy,Other Animal Food Manufacturing,5,17001,39.876164,-91.398272
3,Prince Minerals Inc,7314711,Illinois,IL - Adams,Lead Compounds,CAP/HAP,0.00256,Unspecified,401 N Prince Plz,Synthetic Dye and Pigment Manufacturing,5,17001,39.895106,-91.409158
4,Quincy Regional Airport - Baldwin Field,3346911,Illinois,IL - Adams,Lead Compounds,CAP/HAP,0.03723,Airport,1645 Highway 104,Other Airport Operations,5,17001,39.940926,-91.194253
5,Bunge North America Inc,3347011,Illinois,IL - Alexander,Lead Compounds,CAP/HAP,0.00032,Food Products Processing Plant,203 34th St,Soybean and Other Oilseed Processing,5,17003,37.016051,-89.177772
6,Cairo Dry Kilns Inc,3362711,Illinois,IL - Alexander,Lead Compounds,CAP/HAP,0.00002,Unspecified,2 Miles N Of Cairo on Hwy 51,Home Centers,5,17003,37.045866,-89.184679
7,Cairo Regional Airport,2414811,Illinois,IL - Alexander,Lead Compounds,CAP/HAP,0.01921,Airport,Airport Rd,Other Airport Operations,5,17003,37.061442,-89.218335
8,Carlisle Const Materials Inc,2415411,Illinois,IL - Bond,Lead Compounds,CAP/HAP,0.00002,Unspecified,1825 E Rte 40,All Other Rubber Product Manufacturing,5,17005,38.881977,-89.385079
9,Greenville Airport,2417211,Illinois,IL - Bond,Lead Compounds,CAP/HAP,0.05075,Airport,Airport Ave,Other Airport Operations,5,17005,38.836042,-89.37644
10,Greenville Ready Mix,2415511,Illinois,IL - Bond,Lead Compounds,CAP/HAP,0.00001,Concrete Batch Plant,1311 S 4th St,Ready-Mix Concrete Manufacturing,5,17005,38.880582,-89.41527
11,SpecGx LLC,2415111,Illinois,IL - Bond,Lead Compounds,CAP/HAP,0.00001,Pharmaceutical Manufacturing,100 Louis Latzer Dr,Medicinal and Botanical Manufacturing,5,17005,38.884004,-89.411683
12,COMPASS ROSE,12465011,Illinois,IL - Boone,Lead Compounds,CAP/HAP,0.00014,Airport,Unknown,Airport Operations,5,17007,42.454895,-88.904708
13,FCA US LLC,930911,Illinois,IL - Boone,Lead Compounds,CAP/HAP,0.00013,Automobile/Truck or Parts Plant,3000 W Chrysler Dr,Automobile and Light Duty Motor Vehicle Manufacturing,5,17007,42.236391,-88.869135
14,General Mills Operations Inc,2417311,Illinois,IL - Boone,Lead Compounds,CAP/HAP,0.00001,Unspecified,915 E Pleasant St,Nonchocolate Confectionery Manufacturing,5,17007,42.263405,-88.830783
15,Poplar Grove Airport,2452711,Illinois,IL - Boone,Lead Compounds,CAP/HAP,0.14914,Airport,11619 Route 76,Other Airport Operations,5,17007,42.320895,-88.836063
16,US Chrome Corp of Illinois,2452611,Illinois,IL - Boone,Lead Compounds,CAP/HAP,0.00032,Unspecified,305 Herbert Rd,"Electroplating, Plating, Polishing, Anodizing, and Coloring",5,17007,42.156502,-88.775311
17,Mt Sterling Municipal Airport,2362911,Illinois,IL - Brown,Lead Compounds,CAP/HAP,0.00678,Airport,US 24,Other Airport Operations,5,17009,39.985389,-90.804139
18,WL Miller Co,2362611,Illinois,IL - Brown,Lead Compounds,CAP/HAP,0,Hot Mix Asphalt Plant,Rt 24 W,Asphalt Paving Mixture and Block Manufacturing,5,17009,39.995888,-90.809411
19,LCN Closers Division of Schlage Lock Co LLC,559711,Illinois,IL - Bureau,Lead Compounds,CAP/HAP,0.00001,Unspecified,121 W Railroad Ave,Hardware Manufacturing,5,17011,41.386988,-89.467945
20,McDonald Trucking & Paving Inc,2381911,Illinois,IL - Bureau,Lead Compounds,CAP/HAP,0.00001,Hot Mix Asphalt Plant,28237 2000 E St,Asphalt Paving Mixture and Block Manufacturing,5,17011,41.556662,-89.471979
21,Monterey Mushrooms Inc,2382211,Illinois,IL - Bureau,Lead Compounds,CAP/HAP,0.00006,Food Products Processing Plant,27268 Rte 6,Mushroom Production,5,17011,41.360565,-89.329196
22,Hardin Ready Mix Inc,2382911,Illinois,IL - Calhoun,Lead Compounds,CAP/HAP,0.00001,Concrete Batch Plant,Illinois River Rd,Ready-Mix Concrete Manufacturing,5,17013,39.107168,-90.617621
23,Danisco America Inc,2590111,Illinois,IL - Carroll,Lead Compounds,CAP/HAP,0.00011,Wet Corn Mill,10994 Three Mile Rd,Wet Corn Milling and Starch Manufacturing,5,17015,41.999729,-90.109274
24,Powerlab Inc,948211,Illinois,IL - Carroll,Lead Compounds,CAP/HAP,0.00132,Unspecified,Powerlab Rd,Synthetic Dye and Pigment Manufacturing,5,17015,42.059357,-90.115801
25,Tri-Township Airport,1974511,Illinois,IL - Carroll,Lead Compounds,CAP/HAP,0.00904,Airport,8049 State Route 84 S,Other Airport Operations,5,17015,42.045833,-90.107944
26,Greater Beardstown Airport,1725011,Illinois,IL - Cass,Lead Compounds,CAP/HAP,0.00678,Airport,9487 Airport Rd,Other Airport Operations,5,17017,39.973459,-90.405889
27,JBS/Swift Pork Co,1974811,Illinois,IL - Cass,Lead Compounds,CAP/HAP,0.00029,Unspecified,8295 Arenzville Rd,Animal (except Poultry) Slaughtering,5,17017,39.99379,-90.404577
28,Beauty Quest Group,2460011,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00001,Unspecified,205 Shellhouse Dr,Toilet Preparation Manufacturing,5,17019,40.314794,-88.201848
29,Clifford-Jacobs Forging Co,1913811,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00008,Steel Mill,2410 N Fifth St,Iron and Steel Forging,5,17019,40.144085,-88.230019
30,Emulsicoat Inc,2275211,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00002,Hot Mix Asphalt Plant,705 E University Ave,Asphalt Paving Mixture and Block Manufacturing,5,17019,40.114952,-88.200447
31,Frasca Field,1925611,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.0339,Airport,1402 E Airport Rd,Other Airport Operations,5,17019,40.145051,-88.200698
32,Guardian West,2276211,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00006,Unspecified,601 Guardian Dr,Other Motor Vehicle Parts Manufacturing,5,17019,40.118279,-88.185131
33,Herff Jones Cap & Gown Division,1725311,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00001,Unspecified,1000 N Market St,Cut and Sew Apparel Manufacturing (except Contractors),5,17019,40.125682,-88.237846
34,JELD-WEN,2459711,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00001,"Woodwork, Furniture, Millwork Manufacturing",201 Evans Rd,Wood Window and Door Manufacturing,5,17019,40.315051,-88.19536
35,Kraft Heinz Co,7415111,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00018,Food Products Processing Plant,1701 W Bradley Ave,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",5,17019,40.125922,-88.271951
36,Meadowbrook Farms Coop,15451011,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00007,Unspecified,205 Turner Dr,Animal (except Poultry) Slaughtering,5,17019,40.314305,-88.211031
37,Open Road Asphalt Co LLC,2276111,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0,Hot Mix Asphalt Plant,3004 N Oak St,Asphalt Paving Mixture and Block Manufacturing,5,17019,40.146663,-88.223545
38,Peoples Gas Light & Coke Co,558811,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00001,Unspecified,230 CR 2800N,Pipeline Transportation of Natural Gas,5,17019,40.2844,-88.4153
39,Rantoul National Aviation Center - Frank Elliott Field,1925511,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.0452,Airport,6 Aviation Center Dr,Other Airport Operations,5,17019,40.294516,-88.140618
40,Solo Cup Operating Corp,2275411,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00002,Unspecified,1505 E Main St,All Other Plastics Product Manufacturing,5,17019,40.110852,-88.189947
41,University of Illinois,1725411,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.00148,"Institutional (school, hospital, prison, etc.)",354 Administration Building,"Colleges, Universities, and Professional Schools",5,17019,40.104712,-88.242048
42,Willard Airport,1925711,Illinois,IL - Champaign,Lead Compounds,CAP/HAP,0.06952,Airport,1 Airport Rd,Other Airport Operations,5,17019,40.039881,-88.276254
43,Ahlstrom-Munksjo Filtration LLC,929011,Illinois,IL - Christian,Lead Compounds,CAP/HAP,0.00006,Pulp and Paper Plant,1200 E Elm St,Paper Mills,5,17021,39.555441,-89.280587
44,GSI Group LLC,10773411,Illinois,IL - Christian,Lead Compounds,CAP/HAP,0.0005,Unspecified,1004 E Illinois St,All Other Miscellaneous Fabricated Metal Product Manufacturing,5,17021,39.517462,-89.03807
45,Kincaid Generation LLC,1929211,Illinois,IL - Christian,Lead Compounds,CAP/HAP,0.00779,Electricity Generation via Combustion,4 Mi W Of Kincaid Rte 104,Fossil Fuel Electric Power Generation,5,17021,39.590599,-89.496613
46,Taylorville Airport,1787711,Illinois,IL - Christian,Lead Compounds,CAP/HAP,0.02017,Airport,1501 S Spresser,Other Airport Operations,5,17021,39.529851,-89.327412
47,Casey Municipal Airport,1943711,Illinois,IL - Clark,Lead Compounds,CAP/HAP,0.01761,Airport,Airport Rd,Other Airport Operations,5,17023,39.302103,-88.003345
48,Hoerr's Blacktop & Sealcoating LLC,1942511,Illinois,IL - Clark,Lead Compounds,CAP/HAP,0.00002,Hot Mix Asphalt Plant,16870 N Quality Lime Rd,Asphalt Paving Mixture and Block Manufacturing,5,17023,39.394874,-87.665868
49,ID Castings of Illinois LLC,1845611,Illinois,IL - Clark,Lead Compounds,CAP/HAP,0.03222,"Foundries, Iron and Steel",147 W Cumberland St,Iron Foundries,5,17023,39.332108,-87.884251
50,ZF Active Safety & Electronics US LLC,1845511,Illinois,IL - Clark,Lead Compounds,CAP/HAP,0.00131,Unspecified,902 S Second St,Other Motor Vehicle Parts Manufacturing,5,17023,39.383501,-87.699464
51,Cargill Inc,1944311,Illinois,IL - Clay,Lead Compounds,CAP/HAP,0.00003,Unspecified,6 Industrial Park,Other Animal Food Manufacturing,5,17025,38.672268,-88.469169
52,Flora Airport,1946211,Illinois,IL - Clay,Lead Compounds,CAP/HAP,0.02172,Airport,1 Airport Rd,Other Airport Operations,5,17025,38.664284,-88.452704
53,Beelman Ready Mix,1816011,Illinois,IL - Clinton,Lead Compounds,CAP/HAP,0,Concrete Batch Plant,8200 Old US Hwy 50,Ready-Mix Concrete Manufacturing,5,17027,38.610482,-89.549204
54,Kaskaskia Community College,1816111,Illinois,IL - Clinton,Lead Compounds,CAP/HAP,0.00001,"Institutional (school, hospital, prison, etc.)",27210 College Rd,"Colleges, Universities, and Professional Schools",5,17027,38.563267,-89.190666
55,Natural Gas Pipeline Co of America,1816411,Illinois,IL - Clinton,Lead Compounds,CAP/HAP,0.00003,Compressor Station,1/4 mile S of Il 161 on Broadway,Pipeline Transportation of Natural Gas,5,17027,38.531149,-89.266177
56,WG Murray Dev Center,1804511,Illinois,IL - Clinton,Lead Compounds,CAP/HAP,0.03374,"Institutional (school, hospital, prison, etc.)",1535 W McCord St,Psychiatric and Substance Abuse Hospitals,5,17027,38.52845,-89.168373
57,Bimbo Bakeries USA Inc,2616611,Illinois,IL - Coles,Lead Compounds,CAP/HAP,0.00002,Unspecified,3801 Dewitt Ave,"Frozen Cakes, Pies, and Other Pastries Manufacturing",5,17029,39.488854,-88.406749
58,Coles County Memorial Airport,2617811,Illinois,IL - Coles,Lead Compounds,CAP/HAP,0.06006,Airport,432 Airport Rd,Other Airport Operations,5,17029,39.477968,-88.279593
59,JJ Collins Sons Inc,1877711,Illinois,IL - Coles,Lead Compounds,CAP/HAP,0,Printing/Publishing Facility,2351 Madison Ave,Commercial Printing (except Screen and Books),5,17029,39.500193,-88.155752
60,LSC Communications Inc,931911,Illinois,IL - Coles,Lead Compounds,CAP/HAP,0.00005,Printing/Publishing Facility,6821 E CR 1100N,Commercial Printing (except Screen and Books),5,17029,39.533027,-88.349816
61,Mars Pet Care US Inc,1962311,Illinois,IL - Coles,Lead Compounds,CAP/HAP,0.00003,Food Products Processing Plant,6565 E CR 1000N,Dog and Cat Food Manufacturing,5,17029,39.522324,-88.353865
62,122 South Michigan LLC,1896311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,122 S Michigan Ave,Lessors of Nonresidential Buildings (except Miniwarehouses),5,17031,41.879909,-87.624927
63,135 S LaSalle Property LLC,1764711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00003,Unspecified,135 S LaSalle St,Commercial Banking,5,17031,41.879789,-87.631675
64,A Finkl & Sons Co,10798011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.02156,Unspecified,1355 E 93rd St,Iron and Steel Forging,5,17031,41.726794,-87.590059
65,A-F Acquisition LLC dba Pullman Innovations,1776811,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,2701 E 100th St,Fats and Oils Refining and Blending,5,17031,41.712233,-87.558033
66,Aallied Die Casting Co of Illinois,1866711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00065,"Foundries, non-ferrous",3021 Cullerton Dr,Nonferrous Metal Die-Casting Foundries,5,17031,41.93407,-87.891324
67,Active Biomaterials,14983711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,1300 Chase Ave,Medicinal and Botanical Manufacturing,5,17031,42.010176,-87.967285
68,Advocate Trinity Hospital,2446811,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,"Institutional (school, hospital, prison, etc.)",2320 E 93rd St,General Medical and Surgical Hospitals,5,17031,41.726722,-87.567006
69,Allied Asphalt Paving Co,10894611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Hot Mix Asphalt Plant,2200 Graham St,Asphalt Paving Mixture and Block Manufacturing,5,17031,42.010568,-88.260634
